Vivado Simulator 2018.2
Time resolution is 1 ps
clk = 1, U=1, V= 0,W =         24, X =    3211571, Y =         21, Z=         34
clk = 0, U=1, V= 0,W =         24, X =    3211571, Y =         21, Z=         34
clk = 1, U=1, V= 1,W =         28, X = 1076953523, Y =         21, Z=         34
clk = 0, U=1, V= 1,W =         28, X = 1076953523, Y =         21, Z=         34
clk = 1, U=1, V= 1,W =         32, X = 1076953395, Y =         21, Z=         21
clk = 0, U=1, V= 1,W =         32, X = 1076953395, Y =         21, Z=         21
clk = 1, U=1, V= 0,W =         36, X = 4271895407, Y =         21, Z= 4294967272
clk = 0, U=1, V= 0,W =         36, X = 4271895407, Y =         21, Z= 4294967272
clk = 1, U=1, V= 0,W =         12, X =      66067, Y =         21, Z=          0
clk = 0, U=1, V= 0,W =         12, X =      66067, Y =         21, Z=          0
clk = 1, U=1, V= 0,W =         16, X =    2195891, Y =         34, Z=         34
clk = 0, U=1, V= 0,W =         16, X =    2195891, Y =         34, Z=         34
clk = 1, U=0, V= 0,W =         20, X = 4266809571, Y =         34, Z= 4294967280
clk = 0, U=0, V= 0,W =         20, X = 4266809571, Y =         34, Z= 4294967280
clk = 1, U=1, V= 0,W =         24, X =    3211571, Y =         34, Z=         55
clk = 0, U=1, V= 0,W =         24, X =    3211571, Y =         34, Z=         55
clk = 1, U=1, V= 1,W =         28, X = 1076953523, Y =         34, Z=         55
clk = 0, U=1, V= 1,W =         28, X = 1076953523, Y =         34, Z=         55
clk = 1, U=1, V= 1,W =         32, X = 1076953395, Y =         34, Z=         34
clk = 0, U=1, V= 1,W =         32, X = 1076953395, Y =         34, Z=         34
clk = 1, U=1, V= 0,W =         36, X = 4271895407, Y =         34, Z= 4294967272
clk = 0, U=1, V= 0,W =         36, X = 4271895407, Y =         34, Z= 4294967272
clk = 1, U=1, V= 0,W =         12, X =      66067, Y =         34, Z=          0
clk = 0, U=1, V= 0,W =         12, X =      66067, Y =         34, Z=          0
clk = 1, U=1, V= 0,W =         16, X =    2195891, Y =         55, Z=         55
clk = 0, U=1, V= 0,W =         16, X =    2195891, Y =         55, Z=         55
clk = 1, U=0, V= 0,W =         20, X = 4266809571, Y =         55, Z= 4294967280
clk = 0, U=0, V= 0,W =         20, X = 4266809571, Y =         55, Z= 4294967280
clk = 1, 
